Date	Price	Open	High	Low	Vol.	Change %
2019-08-01	1457.30	1412.00	1458.15	1405.30	-	0.01
2019-07-31	1437.80	1443.70	1447.80	1422.30	419.58K	0.00
2019-07-30	1441.80	1439.50	1445.70	1434.80	259.62K	0.01
2019-07-29	1433.30	1431.90	1440.80	1427.50	174.17K	0.01
2019-07-28	1419.85	1419.35	1420.65	1418.35	-	-0.01
2019-07-26	1432.20	1427.40	1437.60	1425.60	118.10K	0.00
2019-07-25	1427.50	1439.30	1447.00	1423.90	115.82K	-0.01
2019-07-24	1436.50	1431.00	1442.90	1429.40	67.12K	0.00
2019-07-23	1434.50	1438.40	1444.00	1427.50	63.45K	0.00
2019-07-22	1439.70	1441.70	1443.50	1435.70	31.81K	0.01
2019-07-21	1425.85	1426.30	1429.35	1424.45	-	-0.01
2019-07-19	1439.40	1460.40	1467.00	1434.00	44.94K	0.00
2019-07-18	1440.80	1441.00	1462.30	1428.10	41.23K	0.00
2019-07-17	1435.90	1420.60	1440.80	1413.70	26.14K	0.01
2019-07-16	1423.60	1428.80	1432.40	1415.00	22.67K	0.00
2019-07-15	1426.10	1429.00	1433.90	1421.90	13.16K	0.01
2019-07-14	1418.05	1417.50	1421.55	1414.75	-	0.00
2019-07-12	1424.80	1418.40	1431.40	1417.20	31.10K	0.00
2019-07-11	1419.30	1433.40	1441.30	1415.50	47.27K	0.00
2019-07-10	1424.90	1412.20	1433.30	1404.40	47.99K	0.01
2019-07-09	1412.80	1409.80	1414.10	1399.80	31.22K	0.00
2019-07-08	1412.20	1412.40	1421.50	1406.00	48.89K	0.01
2019-07-07	1397.95	1401.55	1403.85	1395.05	-	-0.01
2019-07-05	1412.10	1434.10	1437.50	1400.70	26.07K	-0.01
2019-07-04	1423.55	1421.25	1426.65	1412.85	-	-0.01
2019-07-03	1432.90	1435.50	1452.60	1426.60	17.76K	0.01
2019-07-02	1419.80	1399.50	1435.00	1398.80	33.95K	0.01
2019-07-01	1400.80	1418.00	1418.00	1396.40	14.99K	0.00
