Date	Price	Open	High	Low	Vol.	Change %
2019-08-01	16.35	16.27	16.40	15.94	-	0.00
2019-07-31	16.41	16.59	16.60	16.22	107.09K	-0.01
2019-07-30	16.56	16.50	16.64	16.43	57.74K	0.01
2019-07-29	16.44	16.42	16.50	16.36	62.06K	0.00
2019-07-28	16.40	16.43	16.45	16.40	-	0.00
2019-07-26	16.40	16.46	16.55	16.36	80.58K	0.00
2019-07-25	16.41	16.62	16.69	16.35	121.09K	-0.01
2019-07-24	16.63	16.44	16.68	16.35	84.63K	0.01
2019-07-23	16.48	16.38	16.58	16.21	111.41K	0.00
2019-07-22	16.41	16.26	16.46	16.20	98.27K	0.01
2019-07-21	16.23	16.23	16.29	16.21	-	0.00
2019-07-19	16.20	16.39	16.63	16.08	173.87K	0.00
2019-07-18	16.20	16.01	16.39	15.96	149.09K	0.01
2019-07-17	15.97	15.59	16.03	15.56	111.24K	0.02
2019-07-16	15.68	15.42	15.74	15.34	128.87K	0.02
2019-07-15	15.37	15.24	15.43	15.19	67.64K	0.01
2019-07-14	15.25	15.25	15.28	15.23	-	0.00
2019-07-12	15.24	15.14	15.27	15.07	49.16K	0.01
2019-07-11	15.15	15.27	15.35	15.12	60.63K	-0.01
2019-07-10	15.23	15.14	15.32	15.07	73.72K	0.01
2019-07-09	15.15	15.04	15.16	14.97	49.64K	0.01
2019-07-08	15.05	15.05	15.15	14.99	47.62K	0.00
2019-07-07	15.00	15.02	15.06	14.98	-	0.00
2019-07-05	15.00	15.37	15.37	14.92	109.25K	-0.02
2019-07-04	15.35	15.34	15.37	15.25	-	0.00
2019-07-03	15.34	15.37	15.51	15.24	66.80K	0.01
2019-07-02	15.24	15.16	15.37	15.07	71.31K	0.00
2019-07-01	15.19	15.32	15.35	15.16	70.00K	0.00
2019-06-30	15.23	15.35	15.35	15.16	-	-0.01
2019-06-28	15.34	15.30	15.39	15.25	57.10K	0.00
2019-06-27	15.29	15.34	15.36	15.21	74.82K	-0.01
2019-06-26	15.38	15.43	15.44	15.24	76.04K	0.00
2019-06-25	15.38	15.54	15.59	15.34	82.57K	-0.01
2019-06-24	15.46	15.45	15.54	15.37	51.72K	0.00
2019-06-23	15.40	15.33	15.42	15.33	-	0.00
2019-06-21	15.37	15.53	15.63	15.24	43.99K	-0.01
2019-06-20	15.57	15.24	15.59	15.19	56.56K	0.04
2019-06-19	15.03	15.07	15.25	14.98	20.48K	0.00
2019-06-18	15.07	14.90	15.16	14.88	21.58K	0.01
2019-06-17	14.90	14.91	14.96	14.83	9.80K	0.01
2019-06-16	14.81	14.84	14.86	14.80	-	0.00
2019-06-14	14.88	14.97	15.19	14.85	14.13K	-0.01
2019-06-13	14.96	14.83	15.00	14.79	16.08K	0.01
2019-06-12	14.83	14.80	14.93	14.79	10.10K	0.00
2019-06-11	14.82	14.77	14.85	14.71	15.42K	0.01
2019-06-10	14.71	15.05	15.08	14.70	13.26K	-0.02
2019-06-09	14.97	15.01	15.01	14.95	-	-0.01
2019-06-07	15.11	14.97	15.23	14.92	14.38K	0.01
2019-06-06	14.98	14.86	15.07	14.80	7.31K	0.01
2019-06-05	14.86	14.91	15.12	14.83	8.64K	0.00
2019-06-04	14.85	14.86	14.92	14.73	7.77K	0.00
2019-06-03	14.82	14.66	14.91	14.64	9.13K	0.01
2019-06-02	14.60	14.56	14.60	14.56	-	0.00
2019-05-31	14.65	14.58	14.75	14.54	6.47K	0.01
2019-05-30	14.57	14.48	14.63	14.42	3.70K	0.01
2019-05-29	14.49	14.42	14.53	14.41	5.41K	0.01
2019-05-28	14.40	14.63	14.69	14.35	3.30K	-0.01
2019-05-27	14.57	14.55	14.61	14.54	-	0.00
2019-05-26	14.56	14.55	14.56	14.55	-	-0.01
2019-05-24	14.64	14.66	14.67	14.60	1.71K	0.00
2019-05-23	14.69	14.51	14.71	14.48	2.62K	0.01
2019-05-22	14.53	14.50	14.56	14.46	1.78K	0.00
2019-05-21	14.49	14.52	14.53	14.43	1.33K	0.00
2019-05-20	14.52	14.47	14.54	14.45	0.82K	0.01
2019-05-19	14.43	14.39	14.43	14.39	-	0.00
2019-05-17	14.47	14.60	14.62	14.47	1.81K	-0.01
2019-05-16	14.62	14.86	14.90	14.60	1.87K	-0.02
2019-05-15	14.89	14.89	14.93	14.85	1.12K	0.00
2019-05-14	14.89	14.87	14.94	14.83	2.22K	0.00
